customer_id,date,channel,score,text
CUST001,2025-07-01,app,0.6,Great app experience.
CUST001,2025-08-12,support,-0.2,Slow response from support.
CUST001,2025-09-10,web,0.3,Checkout was okay.
CUST002,2025-06-22,app,-0.4,App crashes sometimes.
CUST002,2025-08-02,support,-0.1,Fees are confusing.
CUST002,2025-09-05,web,0.2,New design is better.
CUST003,2025-07-18,app,0.8,Love the investment features.
CUST003,2025-08-08,support,0.5,Helpful mortgage team.
CUST003,2025-09-09,web,0.7,Fast transfers.
CUST004,2025-06-10,app,-0.1,The app is okay but slow sometimes.
CUST004,2025-08-22,support,-0.3,Had trouble updating address.
CUST005,2025-07-07,app,0.9,Great investment insights.
CUST005,2025-08-19,web,0.6,Smooth experience opening a new fund.
CUST006,2025-05-30,app,0.2,Notifications are useful.
CUST006,2025-09-01,support,-0.2,Confused about loan payment schedule.
